2023-01-12 15:16:51 INFO  Test:10 - afasdc
2023-01-20 00:17:50 INFO  Servlet:22 - Servlet.init
2023-01-20 00:17:50 INFO  Servlet:42 - Servlet.doGet; commandName ==> changeLanguage
2023-01-20 00:17:58 INFO  Servlet:42 - Servlet.doGet; commandName ==> changeLanguage
2023-01-20 00:18:02 INFO  Servlet:42 - Servlet.doGet; commandName ==> changeLanguage
2023-01-20 00:18:04 INFO  Servlet:42 - Servlet.doGet; commandName ==> changeLanguage
2023-01-20 00:19:24 INFO  Servlet:22 - Servlet.init
2023-01-20 00:19:24 INFO  Servlet:42 - Servlet.doGet; commandName ==> changeLanguage
2023-01-20 00:22:13 INFO  Servlet:22 - Servlet.init
2023-01-20 00:22:13 INFO  Servlet:42 - Servlet.doGet; commandName ==> changeLanguage
2023-01-20 00:23:30 INFO  Servlet:60 - Servlet.destroy
2023-01-20 00:23:33 INFO  Servlet:22 - Servlet.init
2023-01-20 00:23:33 INFO  Servlet:42 - Servlet.doGet; commandName ==> changeLanguage
2023-01-20 00:23:36 INFO  Servlet:42 - Servlet.doGet; commandName ==> changeLanguage
2023-01-20 00:23:37 INFO  Servlet:42 - Servlet.doGet; commandName ==> changeLanguage
2023-01-20 00:23:59 INFO  Servlet:42 - Servlet.doGet; commandName ==> changeLanguage
2023-01-20 00:24:07 INFO  Servlet:60 - Servlet.destroy
2023-01-20 00:24:14 INFO  Servlet:22 - Servlet.init
2023-01-20 00:24:14 INFO  Servlet:42 - Servlet.doGet; commandName ==> changeLanguage
2023-01-20 00:29:27 INFO  Servlet:22 - Servlet.init
2023-01-20 00:29:27 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-20 00:29:37 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-20 00:32:15 INFO  Servlet:42 - Servlet.doGet; commandName ==> logOut
2023-01-20 00:32:19 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-20 00:32:21 INFO  Servlet:42 - Servlet.doGet; commandName ==> getUsers
2023-01-20 00:34:04 INFO  Servlet:42 - Servlet.doGet; commandName ==> blockUser
2023-01-20 00:34:06 INFO  Servlet:42 - Servlet.doGet; commandName ==> logOut
2023-01-20 00:34:13 INFO  Servlet:60 - Servlet.destroy
2023-01-20 00:34:19 INFO  Servlet:22 - Servlet.init
2023-01-20 00:34:19 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-20 00:35:05 INFO  Servlet:60 - Servlet.destroy
2023-01-20 00:35:12 INFO  Servlet:22 - Servlet.init
2023-01-20 00:35:12 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-20 00:35:18 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-20 00:35:30 INFO  Servlet:60 - Servlet.destroy
2023-01-20 00:35:36 INFO  Servlet:22 - Servlet.init
